market,date,block,mcp_rs_mwh
DAM,2026-05-08,1,5499.9
DAM,2026-05-08,2,5499.45
DAM,2026-05-08,3,5249.51
DAM,2026-05-08,4,5000.51
DAM,2026-05-08,5,5000.27
DAM,2026-05-08,6,4919.92
DAM,2026-05-08,7,4919.23
DAM,2026-05-08,8,4769.61
DAM,2026-05-08,9,4406.3
DAM,2026-05-08,10,4299.73
DAM,2026-05-08,11,4299.46
DAM,2026-05-08,12,4229.6
DAM,2026-05-08,13,3880.82
DAM,2026-05-08,14,3920.02
DAM,2026-05-08,15,3690.52
DAM,2026-05-08,16,3670.24
DAM,2026-05-08,17,3630.24
DAM,2026-05-08,18,3584.81
DAM,2026-05-08,19,3630.05
DAM,2026-05-08,20,3569.88
DAM,2026-05-08,21,3690.19
DAM,2026-05-08,22,3892.5
DAM,2026-05-08,23,4000.69
DAM,2026-05-08,24,3771.36
DAM,2026-05-08,25,3569.86
DAM,2026-05-08,26,3500.32
DAM,2026-05-08,27,3302.04
DAM,2026-05-08,28,3150.16
DAM,2026-05-08,29,2799.17
DAM,2026-05-08,30,2469.17
DAM,2026-05-08,31,2012.31
DAM,2026-05-08,32,1900.18
DAM,2026-05-08,33,1611.48
DAM,2026-05-08,34,1611.03
DAM,2026-05-08,35,1449.32
DAM,2026-05-08,36,1367.64
DAM,2026-05-08,37,940.62
DAM,2026-05-08,38,730.95
DAM,2026-05-08,39,1000.77
DAM,2026-05-08,40,1221.2
DAM,2026-05-08,41,1000.96
DAM,2026-05-08,42,1001.06
DAM,2026-05-08,43,1000.71
DAM,2026-05-08,44,1000.81
DAM,2026-05-08,45,730.83
DAM,2026-05-08,46,730.82
DAM,2026-05-08,47,730.84
DAM,2026-05-08,48,730.84
DAM,2026-05-08,49,730.45
DAM,2026-05-08,50,730.43
DAM,2026-05-08,51,730.48
DAM,2026-05-08,52,730.52
DAM,2026-05-08,53,200.76
DAM,2026-05-08,54,200.79
DAM,2026-05-08,55,200.86
DAM,2026-05-08,56,410.34
DAM,2026-05-08,57,1001.59
DAM,2026-05-08,58,1449.82
DAM,2026-05-08,59,1611.44
DAM,2026-05-08,60,1774.44
DAM,2026-05-08,61,2021.26
DAM,2026-05-08,62,2109.6
DAM,2026-05-08,63,2284.79
DAM,2026-05-08,64,2542.42
DAM,2026-05-08,65,2741.13
DAM,2026-05-08,66,2790.32
DAM,2026-05-08,67,2850.41
DAM,2026-05-08,68,2850.36
DAM,2026-05-08,69,3289.36
DAM,2026-05-08,70,3336.11
DAM,2026-05-08,71,3400.02
DAM,2026-05-08,72,3650.89
DAM,2026-05-08,73,3510.66
DAM,2026-05-08,74,4579.14
DAM,2026-05-08,75,5846.25
DAM,2026-05-08,76,10000.0
DAM,2026-05-08,77,10000.0
DAM,2026-05-08,78,10000.0
DAM,2026-05-08,79,10000.0
