date,energy_met_mu,peak_demand_mw,evening_peak_mw,hydro_mu,wind_mu,solar_mu,shortage_mu
2025-07-07,4905.0,216440.0,,748.0,552.0,368.0,0.0
2025-07-08,5039.0,220066.0,,761.0,481.0,412.0,8.0
2025-07-09,4965.0,215836.0,,744.0,491.0,408.0,0.29
2025-07-10,4886.0,214411.0,,757.0,368.0,423.0,0.2
2025-07-11,5026.0,219454.0,,751.0,356.0,422.0,0.0
2025-07-12,5064.0,218578.0,,781.0,389.0,413.0,2.61
2025-07-13,4871.0,210976.0,,742.0,429.0,442.0,0.35
2025-07-14,4904.0,213620.0,,733.0,522.0,430.0,0.0
2025-07-15,4938.0,216482.0,,788.0,453.0,405.0,0.21
2025-07-16,4969.0,215175.0,,808.0,357.0,425.0,0.2
2025-07-17,4961.0,217680.0,,824.0,302.0,401.0,1.86
2025-07-18,5016.0,217773.0,,829.0,317.0,305.0,0.46
2025-07-19,5053.0,218314.0,,809.0,377.0,296.0,1.42
2025-07-20,4925.0,212422.0,,816.0,355.0,335.0,0.12
2025-07-21,5070.0,220591.0,,737.0,349.0,371.0,5.92
2025-07-22,5044.0,218353.0,,701.0,403.0,419.0,0.48
2025-07-23,5024.0,218081.0,,696.0,551.0,389.0,0.19
2025-07-24,5033.0,219210.0,,795.0,453.0,381.0,0.29
2025-07-25,4991.0,218301.0,,797.0,458.0,391.0,0.35
2025-07-26,4868.0,212299.0,,830.0,589.0,328.0,0.41
2025-07-27,4773.0,209712.0,,802.0,605.0,328.0,0.0
2025-07-28,4995.0,219425.0,,846.0,621.0,332.0,0.0
2025-07-29,4963.0,,,813.0,673.0,368.0,0.0
2025-07-30,4987.0,218324.0,,821.0,576.0,367.0,0.08
2025-07-31,4906.0,216455.0,,804.0,492.0,332.0,0.0
2025-08-01,4953.0,218356.0,,771.0,407.0,351.0,0.73
2025-08-02,5035.0,220514.0,,806.0,356.0,460.0,0.56
2025-08-03,4864.0,209454.0,,850.0,268.0,460.0,0.0
2025-08-04,4980.0,220805.0,,878.0,259.0,447.0,0.39
2025-08-05,5060.0,222614.0,,844.0,315.0,459.0,6.99
2025-08-06,5094.0,224669.0,,806.0,284.0,472.0,2.9
2025-08-07,5207.0,229715.0,,848.0,268.0,489.0,2.15
2025-08-08,5163.0,228304.0,,877.0,250.0,452.0,0.31
2025-08-09,4836.0,210483.0,,863.0,218.0,431.0,0.04
2025-08-10,4747.0,208982.0,,868.0,259.0,433.0,0.0
2025-08-11,5007.0,224830.0,,871.0,352.0,456.0,0.26
2025-08-12,5056.0,224923.0,,855.0,437.0,407.0,0.4
2025-08-13,5062.0,221879.0,,858.0,368.0,347.0,0.62
2025-08-14,4839.0,217569.0,,733.0,284.0,374.0,0.15
2025-08-15,4586.0,201376.0,,747.0,333.0,395.0,0.14
2025-08-16,4728.0,210682.0,,793.0,374.0,398.0,0.0
2025-08-17,4646.0,204582.0,,850.0,389.0,389.0,0.0
2025-08-18,4808.0,216102.0,,861.0,399.0,410.0,0.0
2025-08-19,4878.0,219126.0,,873.0,439.0,364.0,0.0
2025-08-20,4880.0,217540.0,,883.0,412.0,418.0,2.34
2025-08-21,4930.0,218531.0,,899.0,341.0,384.0,5.4
2025-08-22,4964.0,219062.0,,881.0,410.0,411.0,0.28
2025-08-23,4843.0,213820.0,,858.0,491.0,360.0,0.14
2025-08-24,4481.0,196697.0,,824.0,523.0,288.0,0.0
2025-08-25,4631.0,211011.0,,835.0,399.0,385.0,0.16
2025-08-26,4739.0,211723.0,,780.0,392.0,413.0,0.3
2025-08-27,4628.0,205572.0,,727.0,367.0,403.0,0.36
2025-08-28,4754.0,215453.0,,806.0,371.0,413.0,0.79
2025-08-29,4782.0,215236.0,,831.0,342.0,397.0,0.68
2025-08-30,4791.0,215970.0,,834.0,335.0,349.0,0.0
2025-08-31,4500.0,199160.0,,832.0,409.0,303.0,0.05
2025-09-01,4456.0,202996.0,,813.0,498.0,327.0,0.0
2025-09-02,4400.0,202492.0,,814.0,451.0,358.0,0.0
2025-09-03,4462.0,205350.0,,794.0,406.0,417.0,0.0
2025-09-04,4547.0,205628.0,,801.0,451.0,421.0,0.0
2025-09-05,4646.0,210056.0,,841.0,413.0,418.0,0.4
2025-09-06,4644.0,205691.0,,876.0,427.0,380.0,0.29
2025-09-07,4477.0,198507.0,,854.0,463.0,350.0,0.0
2025-09-08,4746.0,211234.0,,867.0,365.0,389.0,12.51
2025-09-09,4921.0,,,862.0,212.0,440.0,9.71
2025-09-10,5014.0,,,835.0,179.0,455.0,2.36
2025-09-11,4955.0,,,831.0,229.0,427.0,0.31
2025-09-12,4997.0,,,849.0,178.0,453.0,0.73
2025-09-13,5028.0,,,829.0,207.0,457.0,1.42
2025-09-14,4858.0,,,822.0,256.0,450.0,0.0
2025-09-15,5028.0,,,834.0,341.0,467.0,0.16
2025-09-16,5033.0,,,845.0,248.0,437.0,0.14
2025-09-17,4904.0,,,854.0,144.0,435.0,0.34
2025-09-18,4947.0,,,840.0,177.0,453.0,0.77
2025-09-19,5044.0,,,827.0,211.0,460.0,0.3
2025-09-20,4992.0,,,820.0,232.0,469.0,0.0
2025-09-21,4883.0,,,779.0,244.0,440.0,0.0
2025-09-22,5012.0,,,802.0,297.0,498.0,0.0
2025-09-23,5038.0,,,798.0,345.0,465.0,0.0
2025-09-24,5057.0,,,792.0,344.0,468.0,0.0
2025-09-25,5093.0,,,789.0,286.0,476.0,1.24
2025-09-26,5080.0,,,789.0,341.0,445.0,0.11
2025-09-27,4956.0,,,749.0,451.0,411.0,0.13
2025-09-28,4850.0,,,751.0,512.0,387.0,0.0
2025-09-29,4986.0,,,773.0,393.0,418.0,0.0
2025-09-30,4863.0,,,762.0,363.0,352.0,0.0
2025-10-01,4593.0,,,734.0,367.0,376.0,0.0
2025-10-02,4271.0,,,722.0,320.0,331.0,0.01
2025-10-03,4491.0,,,744.0,225.0,414.0,0.0
